Id|Rotulo|Operador|Direccion|Margen|CodPostal|CCAA|Provincia|Municipio|Localidad|CoordenadaX|CoordenadaXDec|CoordenadaY|CoordenadaYDec|FechaPvp|HoraPvp|TipoVenta|Remision|Horario|TipoServicio|PorcentajeBioetanol|PorcentajeBioalcohol
209|MARINA ALICANTE|TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|MUELLE 8 ZONA DE LEVANTE S/N|null|03001|Comunidad Valenciana|ALICANTE|Alicante/Alacant|ALICANTE/ALACANT|00W2853 3|-0.481472|38N2021 0|38.339167|10/11/2025|08:26|R|dm|L-D: 08:00-21:00|null|null|null
16||TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|PUERTO DEPORTIVO LUIS CAMPOMANES S/N - PARTIDA MASCARAT|null|03590|Comunidad Valenciana|ALICANTE|Altea|ALTEA|00W0013 8|-0.003833|38N3746 4|38.629556|10/11/2025|08:57|R|dm|M-D: 10:00-18:00|null|null|null
207|COFRADIA DE PESCADORES DE CALPE|TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|EXPLANADA DEL PUERTO PESQUERO S/N|null|03710|Comunidad Valenciana|ALICANTE|Calpe/Calp|CALPE|00E0409 0|0.069162|38N3814 3|38.637313|10/11/2025|10:19|P|dm|L-V: 08:00-13:30 y 15:30-19:30  S: 09:00-13:00|null|null|null
59|MARINA DE DENIA S.A|TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|DARSENA DE BABOR S/N PUERTO DE DENIA|null|03700|Comunidad Valenciana|ALICANTE|D�nia|DENIA|null|null|null|null|04/11/2025|20:06|R|dm|L-D: 24H|null|null|null
239|NO HAY|TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|PUERTO PESQUERO DE DENIA S/N|null|03700|Comunidad Valenciana|ALICANTE|D�nia|DENIA|00E0647 0|0.113056|38N5037 0|38.843611|10/11/2025|13:38|P|dm|L-V: 08:00-13:00 y 16:30-19:30|null|null|null
190|MARINA DE LAS DUNAS (REPSOL)|EMPRESAS DEL GRUPO REPSOL (EMBARCACIONES)|AVDA. DEL PUERTO.219|null|03140|Comunidad Valenciana|ALICANTE|Guardamar del Segura|GUARDAMAR DEL SEGURA|00W3846 6|-0.646278|38N0632 4|38.109000|11/11/2025|09:51|M|dm|L-D: 07:00-22:00|null|null|null
266|NOU FONTANA|TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|BURDEOS 1|null|03730|Comunidad Valenciana|ALICANTE|J�vea/X�bia|J�VEA/X�BIA|00E1110 4|0.186222|38N4632 6|38.775722|10/11/2025|14:03|R|dm|L-D: 24H|null|null|null
192|REPSOL|EMPRESAS DEL GRUPO REPSOL (EMBARCACIONES)|CALDERON DE LA BARCA 2|null|03192|Comunidad Valenciana|ALICANTE|Orihuela|DEHESA DE CAMPOAMOR|00W4350 1|-0.730583|37N5437 9|37.910528|11/11/2025|19:12|R|dm|L-D: 08:00-14:00 y 16:00-21:00|null|null|null
233|MARINA MIRAMAR|TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|MUELLE NORTE S/N PUERTO DEPORTIVO 2|null|03130|Comunidad Valenciana|ALICANTE|Santa Pola|SANTA POLA|00W3338 0|-0.560556|38N1121 5|38.189306|04/11/2025|18:00|R|dm|L-D: 24H|null|null|null
237|COFRAD�A DE PESCADORES|TITULARES DE INSTALACIONES DE DISTRIBUCI�N AL POR MENOR|ZONA PORTUARIA 35|null|03130|Comunidad Valenciana|ALICANTE|Santa Pola|SANTA POLA|00W3330 9|-0.558583|38N1114 6|38.187389|10/11/2025|13:44|M|dm|L-V: 09:00-13:00 y 16:00-20:00|null|null|null
